copa,R1_filename,R2_filename,Expt
CoPA_17996_L2,atac/CoPA_17996_L2_R1.fastq.gz,atac/CoPA_17996_L2_R2.fastq.gz,ATAC
CoPA_17997_L2,atac/CoPA_17997_L2_R1.fastq.gz,atac/CoPA_17997_L2_R2.fastq.gz,ATAC
CoPA_17998_L2,atac/CoPA_17998_L2_R1.fastq.gz,atac/CoPA_17998_L2_R2.fastq.gz,ATAC
CoPA_17999_L2,atac/CoPA_17999_L2_R1.fastq.gz,atac/CoPA_17999_L2_R2.fastq.gz,ATAC
CoPA_18000_L2,atac/CoPA_18000_L2_R1.fastq.gz,atac/CoPA_18000_L2_R2.fastq.gz,ATAC
CoPA_18001_L2,atac/CoPA_18001_L2_R1.fastq.gz,atac/CoPA_18001_L2_R2.fastq.gz,ATAC
CoPA_18002_L2,atac/CoPA_18002_L2_R1.fastq.gz,atac/CoPA_18002_L2_R2.fastq.gz,ATAC
CoPA_18003_L2,atac/CoPA_18003_L2_R1.fastq.gz,atac/CoPA_18003_L2_R2.fastq.gz,ATAC
CoPA_18004_L2,atac/CoPA_18004_L2_R1.fastq.gz,atac/CoPA_18004_L2_R2.fastq.gz,ATAC
CoPA_18005_L2,atac/CoPA_18005_L2_R1.fastq.gz,atac/CoPA_18005_L2_R2.fastq.gz,ATAC
CoPA_18006_L2,atac/CoPA_18006_L2_R1.fastq.gz,atac/CoPA_18006_L2_R2.fastq.gz,ATAC
CoPA_18007_L2,atac/CoPA_18007_L2_R1.fastq.gz,atac/CoPA_18007_L2_R2.fastq.gz,ATAC
CoPA_18008_L2,atac/CoPA_18008_L2_R1.fastq.gz,atac/CoPA_18008_L2_R2.fastq.gz,ATAC
CoPA_18009_L2,atac/CoPA_18009_L2_R1.fastq.gz,atac/CoPA_18009_L2_R2.fastq.gz,ATAC
CoPA_18684_L1,atac/CoPA_18684_L1_R1.fastq.gz,atac/CoPA_18684_L1_R2.fastq.gz,ATAC
CoPA_18685_L1,atac/CoPA_18685_L1_R1.fastq.gz,atac/CoPA_18685_L1_R2.fastq.gz,ATAC
CoPA_18686_L1,atac/CoPA_18686_L1_R1.fastq.gz,atac/CoPA_18686_L1_R2.fastq.gz,ATAC
CoPA_18687_L1,atac/CoPA_18687_L1_R1.fastq.gz,atac/CoPA_18687_L1_R2.fastq.gz,ATAC
CoPA_18688_L1,atac/CoPA_18688_L1_R1.fastq.gz,atac/CoPA_18688_L1_R2.fastq.gz,ATAC
CoPA_18689_L1,atac/CoPA_18689_L1_R1.fastq.gz,atac/CoPA_18689_L1_R2.fastq.gz,ATAC
CoPA_18690_L1,atac/CoPA_18690_L1_R1.fastq.gz,atac/CoPA_18690_L1_R2.fastq.gz,ATAC
CoPA_18691_L1,atac/CoPA_18691_L1_R1.fastq.gz,atac/CoPA_18691_L1_R2.fastq.gz,ATAC
CoPA_18692_L1,atac/CoPA_18692_L1_R1.fastq.gz,atac/CoPA_18692_L1_R2.fastq.gz,ATAC
CoPA_18693_L1,atac/CoPA_18693_L1_R1.fastq.gz,atac/CoPA_18693_L1_R2.fastq.gz,ATAC
CoPA_18694_L1,atac/CoPA_18694_L1_R1.fastq.gz,atac/CoPA_18694_L1_R2.fastq.gz,ATAC
CoPA_18684_L2,atac/CoPA_18684_L2_R1.fastq.gz,atac/CoPA_18684_L2_R2.fastq.gz,ATAC
CoPA_18685_L2,atac/CoPA_18685_L2_R1.fastq.gz,atac/CoPA_18685_L2_R2.fastq.gz,ATAC
CoPA_18686_L2,atac/CoPA_18686_L2_R1.fastq.gz,atac/CoPA_18686_L2_R2.fastq.gz,ATAC
CoPA_18687_L2,atac/CoPA_18687_L2_R1.fastq.gz,atac/CoPA_18687_L2_R2.fastq.gz,ATAC
CoPA_18688_L2,atac/CoPA_18688_L2_R1.fastq.gz,atac/CoPA_18688_L2_R2.fastq.gz,ATAC
CoPA_18689_L2,atac/CoPA_18689_L2_R1.fastq.gz,atac/CoPA_18689_L2_R2.fastq.gz,ATAC
CoPA_18690_L2,atac/CoPA_18690_L2_R1.fastq.gz,atac/CoPA_18690_L2_R2.fastq.gz,ATAC
CoPA_18691_L2,atac/CoPA_18691_L2_R1.fastq.gz,atac/CoPA_18691_L2_R2.fastq.gz,ATAC
CoPA_18692_L2,atac/CoPA_18692_L2_R1.fastq.gz,atac/CoPA_18692_L2_R2.fastq.gz,ATAC
CoPA_18693_L2,atac/CoPA_18693_L2_R1.fastq.gz,atac/CoPA_18693_L2_R2.fastq.gz,ATAC
CoPA_18694_L2,atac/CoPA_18694_L2_R1.fastq.gz,atac/CoPA_18694_L2_R2.fastq.gz,ATAC
CoPA_18684_L3,atac/CoPA_18684_L3_R1.fastq.gz,atac/CoPA_18684_L3_R2.fastq.gz,ATAC
CoPA_18685_L3,atac/CoPA_18685_L3_R1.fastq.gz,atac/CoPA_18685_L3_R2.fastq.gz,ATAC
CoPA_18686_L3,atac/CoPA_18686_L3_R1.fastq.gz,atac/CoPA_18686_L3_R2.fastq.gz,ATAC
CoPA_18687_L3,atac/CoPA_18687_L3_R1.fastq.gz,atac/CoPA_18687_L3_R2.fastq.gz,ATAC
CoPA_18688_L3,atac/CoPA_18688_L3_R1.fastq.gz,atac/CoPA_18688_L3_R2.fastq.gz,ATAC
CoPA_18689_L3,atac/CoPA_18689_L3_R1.fastq.gz,atac/CoPA_18689_L3_R2.fastq.gz,ATAC
CoPA_18690_L3,atac/CoPA_18690_L3_R1.fastq.gz,atac/CoPA_18690_L3_R2.fastq.gz,ATAC
CoPA_18691_L3,atac/CoPA_18691_L3_R1.fastq.gz,atac/CoPA_18691_L3_R2.fastq.gz,ATAC
CoPA_18692_L3,atac/CoPA_18692_L3_R1.fastq.gz,atac/CoPA_18692_L3_R2.fastq.gz,ATAC
CoPA_18693_L3,atac/CoPA_18693_L3_R1.fastq.gz,atac/CoPA_18693_L3_R2.fastq.gz,ATAC
CoPA_18694_L3,atac/CoPA_18694_L3_R1.fastq.gz,atac/CoPA_18694_L3_R2.fastq.gz,ATAC
CoPA_18684_L4,atac/CoPA_18684_L4_R1.fastq.gz,atac/CoPA_18684_L4_R2.fastq.gz,ATAC
CoPA_18685_L4,atac/CoPA_18685_L4_R1.fastq.gz,atac/CoPA_18685_L4_R2.fastq.gz,ATAC
CoPA_18686_L4,atac/CoPA_18686_L4_R1.fastq.gz,atac/CoPA_18686_L4_R2.fastq.gz,ATAC
CoPA_18687_L4,atac/CoPA_18687_L4_R1.fastq.gz,atac/CoPA_18687_L4_R2.fastq.gz,ATAC
CoPA_18688_L4,atac/CoPA_18688_L4_R1.fastq.gz,atac/CoPA_18688_L4_R2.fastq.gz,ATAC
CoPA_18689_L4,atac/CoPA_18689_L4_R1.fastq.gz,atac/CoPA_18689_L4_R2.fastq.gz,ATAC
CoPA_18690_L4,atac/CoPA_18690_L4_R1.fastq.gz,atac/CoPA_18690_L4_R2.fastq.gz,ATAC
CoPA_18691_L4,atac/CoPA_18691_L4_R1.fastq.gz,atac/CoPA_18691_L4_R2.fastq.gz,ATAC
CoPA_18692_L4,atac/CoPA_18692_L4_R1.fastq.gz,atac/CoPA_18692_L4_R2.fastq.gz,ATAC
CoPA_18693_L4,atac/CoPA_18693_L4_R1.fastq.gz,atac/CoPA_18693_L4_R2.fastq.gz,ATAC
CoPA_18694_L4,atac/CoPA_18694_L4_R1.fastq.gz,atac/CoPA_18694_L4_R2.fastq.gz,ATAC
CoPA_18965_L1,atac/CoPA_18965_L1_R1.fastq.gz,atac/CoPA_18965_L1_R2.fastq.gz,ATAC
CoPA_18966_L1,atac/CoPA_18966_L1_R1.fastq.gz,atac/CoPA_18966_L1_R2.fastq.gz,ATAC
CoPA_18967_L1,atac/CoPA_18967_L1_R1.fastq.gz,atac/CoPA_18967_L1_R2.fastq.gz,ATAC
CoPA_18968_L1,atac/CoPA_18968_L1_R1.fastq.gz,atac/CoPA_18968_L1_R2.fastq.gz,ATAC
CoPA_18969_L1,atac/CoPA_18969_L1_R1.fastq.gz,atac/CoPA_18969_L1_R2.fastq.gz,ATAC
CoPA_18970_L1,atac/CoPA_18970_L1_R1.fastq.gz,atac/CoPA_18970_L1_R2.fastq.gz,ATAC
CoPA_18971_L1,atac/CoPA_18971_L1_R1.fastq.gz,atac/CoPA_18971_L1_R2.fastq.gz,ATAC
CoPA_18965_L2,atac/CoPA_18965_L2_R1.fastq.gz,atac/CoPA_18965_L2_R2.fastq.gz,ATAC
CoPA_18966_L2,atac/CoPA_18966_L2_R1.fastq.gz,atac/CoPA_18966_L2_R2.fastq.gz,ATAC
CoPA_18967_L2,atac/CoPA_18967_L2_R1.fastq.gz,atac/CoPA_18967_L2_R2.fastq.gz,ATAC
CoPA_18968_L2,atac/CoPA_18968_L2_R1.fastq.gz,atac/CoPA_18968_L2_R2.fastq.gz,ATAC
CoPA_18969_L2,atac/CoPA_18969_L2_R1.fastq.gz,atac/CoPA_18969_L2_R2.fastq.gz,ATAC
CoPA_18970_L2,atac/CoPA_18970_L2_R1.fastq.gz,atac/CoPA_18970_L2_R2.fastq.gz,ATAC
CoPA_18971_L2,atac/CoPA_18971_L2_R1.fastq.gz,atac/CoPA_18971_L2_R2.fastq.gz,ATAC
CoPA_18965_L3,atac/CoPA_18965_L3_R1.fastq.gz,atac/CoPA_18965_L3_R2.fastq.gz,ATAC
CoPA_18966_L3,atac/CoPA_18966_L3_R1.fastq.gz,atac/CoPA_18966_L3_R2.fastq.gz,ATAC
CoPA_18967_L3,atac/CoPA_18967_L3_R1.fastq.gz,atac/CoPA_18967_L3_R2.fastq.gz,ATAC
CoPA_18968_L3,atac/CoPA_18968_L3_R1.fastq.gz,atac/CoPA_18968_L3_R2.fastq.gz,ATAC
CoPA_18969_L3,atac/CoPA_18969_L3_R1.fastq.gz,atac/CoPA_18969_L3_R2.fastq.gz,ATAC
CoPA_18970_L3,atac/CoPA_18970_L3_R1.fastq.gz,atac/CoPA_18970_L3_R2.fastq.gz,ATAC
CoPA_18971_L3,atac/CoPA_18971_L3_R1.fastq.gz,atac/CoPA_18971_L3_R2.fastq.gz,ATAC
CoPA_18965_L4,atac/CoPA_18965_L4_R1.fastq.gz,atac/CoPA_18965_L4_R2.fastq.gz,ATAC
CoPA_18966_L4,atac/CoPA_18966_L4_R1.fastq.gz,atac/CoPA_18966_L4_R2.fastq.gz,ATAC
CoPA_18967_L4,atac/CoPA_18967_L4_R1.fastq.gz,atac/CoPA_18967_L4_R2.fastq.gz,ATAC
CoPA_18968_L4,atac/CoPA_18968_L4_R1.fastq.gz,atac/CoPA_18968_L4_R2.fastq.gz,ATAC
CoPA_18969_L4,atac/CoPA_18969_L4_R1.fastq.gz,atac/CoPA_18969_L4_R2.fastq.gz,ATAC
CoPA_18970_L4,atac/CoPA_18970_L4_R1.fastq.gz,atac/CoPA_18970_L4_R2.fastq.gz,ATAC
CoPA_18971_L4,atac/CoPA_18971_L4_R1.fastq.gz,atac/CoPA_18971_L4_R2.fastq.gz,ATAC
CoPA_19710_L1,atac/CoPA_19710_L1_R1.fastq.gz,atac/CoPA_19710_L1_R2.fastq.gz,ATAC
CoPA_19711_L1,atac/CoPA_19711_L1_R1.fastq.gz,atac/CoPA_19711_L1_R2.fastq.gz,ATAC
CoPA_19712_L1,atac/CoPA_19712_L1_R1.fastq.gz,atac/CoPA_19712_L1_R2.fastq.gz,ATAC
CoPA_19713_L1,atac/CoPA_19713_L1_R1.fastq.gz,atac/CoPA_19713_L1_R2.fastq.gz,ATAC
CoPA_19714_L1,atac/CoPA_19714_L1_R1.fastq.gz,atac/CoPA_19714_L1_R2.fastq.gz,ATAC
CoPA_19715_L1,atac/CoPA_19715_L1_R1.fastq.gz,atac/CoPA_19715_L1_R2.fastq.gz,ATAC
CoPA_19716_L1,atac/CoPA_19716_L1_R1.fastq.gz,atac/CoPA_19716_L1_R2.fastq.gz,ATAC
CoPA_19717_L1,atac/CoPA_19717_L1_R1.fastq.gz,atac/CoPA_19717_L1_R2.fastq.gz,ATAC
CoPA_19718_L1,atac/CoPA_19718_L1_R1.fastq.gz,atac/CoPA_19718_L1_R2.fastq.gz,ATAC
CoPA_19719_L1,atac/CoPA_19719_L1_R1.fastq.gz,atac/CoPA_19719_L1_R2.fastq.gz,ATAC
CoPA_19720_L1,atac/CoPA_19720_L1_R1.fastq.gz,atac/CoPA_19720_L1_R2.fastq.gz,ATAC
CoPA_19721_L1,atac/CoPA_19721_L1_R1.fastq.gz,atac/CoPA_19721_L1_R2.fastq.gz,ATAC
CoPA_19722_L1,atac/CoPA_19722_L1_R1.fastq.gz,atac/CoPA_19722_L1_R2.fastq.gz,ATAC
CoPA_19723_L1,atac/CoPA_19723_L1_R1.fastq.gz,atac/CoPA_19723_L1_R2.fastq.gz,ATAC
CoPA_19724_L1,atac/CoPA_19724_L1_R1.fastq.gz,atac/CoPA_19724_L1_R2.fastq.gz,ATAC
CoPA_19725_L1,atac/CoPA_19725_L1_R1.fastq.gz,atac/CoPA_19725_L1_R2.fastq.gz,ATAC
CoPA_19710_L2,atac/CoPA_19710_L2_R1.fastq.gz,atac/CoPA_19710_L2_R2.fastq.gz,ATAC
